[2015-05-21 00:38:02,355: INFO/MainProcess] beat: Starting...
[2015-05-21 00:38:32,685: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:39:02,737: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:39:32,751: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:40:02,763: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:41:10,122: INFO/MainProcess] beat: Starting...
[2015-05-21 00:41:10,172: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:41:40,186: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:42:10,217: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:42:40,245: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:43:10,271: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:43:40,306: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:44:10,316: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:44:40,338: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:45:10,362: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:45:27,254: INFO/MainProcess] beat: Starting...
[2015-05-21 00:45:27,284: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:45:57,319: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:46:27,344: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:46:57,364: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:47:27,390: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:47:57,413: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:48:27,438: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:48:57,483: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:49:27,519: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:49:57,547: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:50:27,580: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:50:57,599: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:51:27,625: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:51:57,653: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:52:27,659: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:52:57,673: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:53:12,945: INFO/MainProcess] beat: Starting...
[2015-05-21 00:53:12,968: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:53:42,996: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:54:13,022: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:54:43,052: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:55:13,083: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:55:43,106: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:56:35,649: INFO/MainProcess] beat: Starting...
[2015-05-21 00:56:35,664: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:57:05,710: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:57:35,738: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
[2015-05-21 00:58:05,749: INFO/MainProcess] Scheduler: Sending due task test_xsum (celtask.tasks.xsum)
